OBJECTID,class,classid,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,EVI,GNDVI,NDMI,NDVI,NDWI,SAVI,B4_asm,B4_contrast,B4_corr,B4_diss,B4_ent,B4_idm,B4_var,B8_asm,B8_contrast,B8_corr,B8_diss,B8_ent,B8_idm,B8_var,B3_asm,B3_contrast,B3_corr,B3_diss,B3_ent,B3_idm,B3_var,elevation,slope,aspect,B7_asm,B7_contrast,B7_corr,B7_diss,B7_ent,B7_idm,B7_var
80,Bareland,7,3657.5,3190.0,1612.3333333333333,1771.0,1833.0,2441.75,3049.333333333333,3278.5,3304.8,3524.5,0.0554557,0.2943034489371977,0.29930294,-0.04850979,0.28694627,0.29930294,0.2161661187432531,0.007981289,5039230435.842448,0.5009610382667907,55988.05251736111,4.850752755657536,0.031250091,5046191306.989723,0.007981289,1810329348.9861107,0.4222201565930306,34106.79774305555,4.8507527556575365,0.031251497,1559325160.3472595,0.007981289,3799985728.925782,0.4442532939178084,48822.15581597222,4.850752755657536,0.0312500726106796,3414107228.823456,22,0.98833025,20.223839,0.0184039834104938,277787064.4166666,0.7495402764703947,11001.815104166668,4.198426408440517,0.3750002901180442,552029460.1889648
593,Maize fields,1,3102.0,2569.0,1438.0,1610.0,1621.0,1957.0,2571.0,2795.0,2776.0,2959.0,0.054223686,0.2602693460547979,0.26791352,-0.044296958,0.27996278,0.26791352,0.1940948693126815,0.00835089,294647932.2083334,0.5545139213128313,12662.737847222224,4.825180919569171,0.0603305328185771,338732822.4708481,0.008018211,8994821182.028645,0.6872353152175159,68731.36371527775,4.847744304353023,0.0347222371330726,14530165701.086426,0.008048729,154925331.38975695,0.5159186296622276,8973.564236111111,4.845036698,0.0386295120071922,160651483.47872925,4,0.7061858,208.89072,0.0166844497492284,8729508372.601562,0.5905674698795981,60600.05642361112,4.262252628295436,0.3750000016374952,10845418075.072144
2562,Grass,8,3803.0,3534.0,1586.0,1804.0,1962.0,2310.0,2789.0,2953.0,2980.0,3204.0,0.12483823,0.1581763200744358,0.22912836,-0.128584,0.17028381,0.22912836,0.1292873644926249,0.00819981,743472163.3663193,0.3932596232039646,18433.190104166668,4.835108808874065,0.038194578,609417030.79422,0.008188507,656948450.8854166,0.4384437579724873,19427.25173611111,4.832100357569551,0.0347222984960952,584441576.1755371,0.0083637,209787942.8784722,0.4418025369142511,9788.039930555557,4.817948873,0.038628861,187065682.04680637,47,0.6183033,180.0,0.0209674599729938,202086569.3923611,0.5998671861826033,8490.920138888889,4.066054551041916,0.4375002570903598,254864104.8873291
1293,Maize fields,1,3416.0,2988.0,1557.0,1756.0,1836.0,2164.0,2726.0,2915.0,3164.0,3098.0,0.061545756,0.2738490550567786,0.28735632,-0.054301936,0.2700088,0.28735632,0.2036027263875365,0.0083637,196605761.58159724,0.4553864963323399,10716.176215277776,4.819765707221046,0.0455733785910869,181520168.77468872,0.007981289,2658235358.921875,0.5764772626961385,34296.72482638888,4.8507527556575365,0.031250125,3457675584.504242,0.008344485,90549970.109375,0.5989555253050878,7208.021701388889,4.820668242612401,0.0460075403725298,117173739.7047882,11,0.46001765,312.22583,0.019636743,1221195530.274305,0.7772384919403714,18311.371527777774,4.116596532957747,0.4375000179167064,2822730261.2163086
3544,Built up,4,3934.0,3953.0,1916.0,2250.0,2666.0,2925.0,3022.0,3139.0,3142.0,3218.0,0.13251129,0.082784572,0.16506292,-0.1111763,0.083017565,0.16506292,0.065120179,0.007511845,2967746584.65625,0.6285814182769776,41301.01736111112,4.898286286268851,0.0104167032788042,4127184814.056717,0.007542363,1989525702.8402777,0.506449838,34353.94097222222,4.895578680094789,0.007378522,2016270744.904205,0.00757288,2335999752.274305,0.5996393431637084,35375.23263888889,4.892871073920727,0.003472303,3004344869.9664307,244,0.33520377,90.0,0.0150180392795138,872249655.5868055,0.6755066183186993,19331.119791666664,4.332986523100931,0.3789063484348702,1347972561.6222534
3099,Trees,6,2394.0,1648.0,1327.5,1482.0,1342.0,1788.5,2858.5,3170.5,3288.0,3414.0,-0.10567682,0.4219829034305126,0.39013392,0.1640593,0.42107582,0.39013392,0.3063445911734379,0.009686129,3856154.082,0.2010308627734008,1573.8849826388891,4.708214141675169,0.063806875,2400887.5797309875,0.008286464,165815276.5677083,0.1746391952740212,10366.374999999996,4.823676693916913,0.0390629537409176,100737166.38739014,0.00829626,10445284.608940972,0.3367483815481462,2603.5551215277774,4.825481764699623,0.045141214,7902054.341972351,170,1.281374,195.21681,0.017836582513503,31145421.019965272,0.3805883230202734,3666.243055555556,4.215273735745793,0.3715299792522652,25474712.775604248
3963,Bareland,7,4987.0,4489.0,2182.0,2490.0,2872.0,3093.0,3434.0,3625.0,3937.0,3916.0,0.12634176,0.1620249017038008,0.22324064,-0.110566914,0.1436456,0.22324064,0.122153039488776,0.007402585,3377179506.548177,0.642741231,44707.91362847223,4.908515020704198,0.003472273,4771289483.529449,0.007402585,2816892593.690104,0.5552217594480424,40942.06597222221,4.908515020704197,0.003472275,3188119166.3995667,0.007481328,1736662234.273872,0.6076209284766211,32004.385850694445,4.900993892442913,0.0143229885796067,2224657612.77063,214,0.30916065,0.0,0.0151563102816358,1861467834.236545,0.5239417576675104,27121.83116319444,4.318245111708814,0.3784722419747381,2009918489.0813904
614,Built up,4,3579.0,3363.0,1704.0,1948.0,1928.0,2116.0,2816.0,2994.0,3484.0,3303.0,0.025566531,0.3655057901907356,0.3095546,-0.01081635,0.32220113,0.3095546,0.250095822,0.008072841,4988125440.395833,0.5319173716076783,51207.67881944444,4.842629937135349,0.035156286,5398327062.350128,0.008024616,6516831360.35243,0.331495991,60335.03211805555,4.847443459222571,0.035156285,4835462663.175751,0.008140281,2779535155.5243053,0.3786703448477466,34165.86631944444,4.836913879656773,0.034722302,2310577079.874466,56,0.7491198,65.62676,0.0184039834104938,1828073264.769097,0.4835100772679352,26224.50781,4.1984264084405165,0.3750001366138635,1756559188.8059692
3180,Shrubs,5,3673.0,2848.0,1499.5,1700.0,1796.5,2176.0,2778.0,3037.5,3293.0,3336.0,0.076336436,0.2704918784104106,0.3091879,-0.062967174,0.28309837,0.3091879,0.2061847606114567,0.007981289,525037200.3715278,0.611708681,17982.296006944445,4.8507527556575365,0.031250629,679536757.9743271,0.008029514,732973948.4756945,0.3141252281023453,20661.53298611111,4.845939233570313,0.031250332171692,535629154.9630127,0.008035919,116254170.77300346,0.5096492860176771,8220.769531,4.845638388439863,0.038629662,120084285.38858797,68,1.5951682,140.80956,0.019636743,157454518.1996528,0.4030479538758195,7254.213541666668,4.116596532957746,0.4375001797578977,135204910.37579346
2298,Maize fields,1,2744.0,2306.0,1413.0,1633.0,1621.0,1981.0,2775.0,3016.0,3032.0,3192.0,-0.012574777,0.2955639255074284,0.2972124,0.03185509,0.3048973,0.2972124,0.2186974789915966,0.008587119,37595487.92491318,0.4119414651436016,4641.949218749999,4.807431056872542,0.049480199,32181740.307113647,0.008121067,302491274.49652785,0.641109914,13292.666666666666,4.837816415048128,0.0351565,422908496.7991638,0.009981885,14654449.577690974,0.3692042917958507,2935.607204861111,4.720150679892221,0.087676042,11610386.274765017,38,2.1152442,151.23018,0.0196367428626543,201829590.45963544,0.6531252355297199,9202.373697916666,4.116596532957744,0.4375000256320913,292117760.9107056
2371,Trees,6,2459.5,1697.5,1324.0,1465.5,1332.5,1701.0,2900.5,3278.5,3396.0,3571.5,-0.11746412,0.4448722227201038,0.39738923,0.17071363,0.43515825,0.39738923,0.3158917230353812,0.008133876,38498186.8923611,0.3325273190416816,4645.862847222223,4.837214724787224,0.035158719,28892272.03715897,0.007908951,776686954.6875001,0.192424453458769,22209.125,4.857973038788368,0.0277782499504118,479578515.05615234,0.008042324,32130270.080729168,0.3221620765875713,4576.409722222223,4.845337543309412,0.0312516107623195,23787613.036376957,82,1.3571279,270.0,0.0189536765769675,132521989.3797743,0.6042531160696893,6900.498697916667,4.143973439828822,0.4266503375575674,167499252.57907104
3824,Built up,4,3787.0,3279.0,2031.0,2333.0,2605.0,2848.5,3280.5,3430.5,3459.0,3662.0,0.066204876,0.1640801921214292,0.19114032,-0.039720632,0.13604414,0.19114032,0.1158537481662663,0.007402585,4350276882.706162,0.7298830507735308,49278.59071180555,4.908515020704197,0.00347225,8028400574.91333,0.007378472,3427826981.697916,0.2683825637790741,43302.36979166667,4.910921781747808,1.9825130982460713e-08,2327012596.9161377,0.007402585,2191874389.483941,0.6526992652981304,35611.86935763889,4.908515020704197,0.003472517,3140089986.8666,447,0.7026132,151.6418,0.015858591,406395370.563368,0.6978934608110163,12756.775173611111,4.302011237714247,0.3750002877854258,677921690.6350403
